moment,target,simulated,raw_residual,scale,scaled_residual,Q_contribution,Q_share
mean_c_p,3.115533,3.231570766333815,0.11603776633381502,3.115533,0.037244916466561265,0.0013871838026011264,0.11978481835984682
mean_h_p,0.307292,0.3012634489922489,-0.006028551007751126,0.307292,-0.01961831420196792,0.0003848782521271362,0.033234652419713094
mean_t_p_early,0.454449,0.47411021036589257,0.01966121036589258,0.454449,0.043263843392531566,0.0018717601450934972,0.16162850847364924
mean_t_p_late,0.333317,0.3307480064340385,-0.0025689935659614638,0.333317,-0.007707358358443956,5.9403372865475915e-5,0.005129545353190176
mean_e_p_early,0.342896,0.3360232493434537,-0.0068727506565463,0.342896,-0.020043251179793,0.0004017319178562735,0.03468998464337141
mean_e_p_late,0.391094,0.39952047991555734,0.008426479915557339,0.391094,0.021545919690809216,0.0004642266553228003,0.040086472665966016
mean_i_c_early,0.364873,0.38924823762092625,0.02437523762092625,0.364873,0.06680471731513773,0.004462870255555464,0.3853736627567802
mean_i_c_late,0.38721,0.3680283980760582,-0.019181601923941805,0.38721,-0.049537981777179836,0.0024540116385562017,0.2119065532816985
mean_hc_early,6.073689,6.064588589029446,-0.009100410970553696,1.0,-0.009100410970553696,8.281747983297407e-5,0.007151378757603309
mean_hc_late,6.250776,6.254203486245433,0.003427486245432654,1.0,0.003427486245432654,1.174766196263003e-5,0.0010144232881813332
