restart,theta,f_start,f_local,improved,ret
1,0.0,451.6531783668774,424.51127496578795,true,MAXEVAL_REACHED
2,0.6324555320336759,5070.315056596411,508.19581070253355,false,MAXEVAL_REACHED
3,0.7745966692414834,1971.8167583154639,461.3777715095648,false,MAXEVAL_REACHED
4,0.8944271909999159,1093.8536294093085,474.5654290708083,false,MAXEVAL_REACHED
5,0.995,433.55239812222396,425.71546532247464,false,FTOL_REACHED
