restart,theta,f_start,f_local,improved,ret
1,0.0,0.007668515690197645,0.0021491784502171893,true,FTOL_REACHED
2,0.5,0.15935611484458176,0.0019754394811322597,true,FTOL_REACHED
3,0.6123724356957946,0.9530427689607249,0.0024521551877685994,false,FTOL_REACHED
4,0.7071067811865476,0.08614588105108788,0.001973616671985031,true,FTOL_REACHED
5,0.7905694150420949,0.4893036727840364,0.001983724429031417,false,FTOL_REACHED
6,0.8660254037844386,0.027655924400404513,0.0019929148200118355,false,FTOL_REACHED
7,0.9354143466934853,0.010038146265933726,0.0023226039198217647,false,FTOL_REACHED
8,0.995,0.0022403668699222824,0.002007438812097991,false,FTOL_REACHED
