sigma_4_0,Q_current,mean_i_c_early,mean_i_c_late,invalid
-5.985218799082873,1.6495643445176547,0.05116366407430283,0.031892355602683956,0
-6.0,1.6548502904621314,0.050493943649288615,0.031445961231922163,0
-3.0,0.11111385354131582,0.3663976892726163,0.34230295558333695,0
-2.0,0.5270248416411135,0.5078231640240877,0.5359851529059595,0
-1.0,1.9745316354651845,0.6533397590220478,0.7151972177477444,0
