restart,theta,f_start,f_local,improved,ret
1,0.0,0.847918393587022,0.01221623073262201,true,MAXEVAL_REACHED
2,0.5773502691896257,0.7272900010920523,0.013396313033652251,false,MAXEVAL_REACHED
3,0.7071067811865476,0.605951473184871,0.012423137369231884,false,MAXEVAL_REACHED
4,0.816496580927726,0.10416756558585832,0.011637864823073477,true,FTOL_REACHED
5,0.9128709291752769,0.03342685446534244,0.011677170565910763,false,FTOL_REACHED
6,0.995,0.011774377758099823,0.01158677218406825,true,FTOL_REACHED
